"PercentOfNAV","ClientAccountID","AssetClass","SubCategory","Symbol","ListingExchange","Quantity","CostBasisPrice","CostBasisMoney","FifoPnlUnrealized","CurrencyPrimary","FXRateToBase","Description","PositionValue"
"9.57","U9223979","STK","ETF","DGRO","ARCA","100","60.4390405","6043.90405","813.09595","USD","1","ISHARES CORE DIVIDEND GROWTH","6857"
"8.37","U9223979","STK","ETF","DIVO","ARCA","135","41.009305259","5536.25621","464.49379","USD","1","AMPLIFY CWP ENHAN DIVID ETF","6000.75"
"31.79","U9223979","STK","ETF","JEPI","ARCA","400","55.49828995","22199.31598","588.68402","USD","1","JPMORGAN EQUITY PREMIUM INCO","22788"
"4.43","U9223979","STK","ETF","PFF","NASDAQ","100","30.8055521","3080.55521","98.44479","USD","1","ISHARES PREFERRED & INCOME S","3179"
"38.14","U9223979","STK","ETF","SCHD","ARCA","1000","26.799379239","26799.379239","540.620761","USD","1","SCHWAB US DVD EQUITY ETF","27340"
"5.60","U9223979","STK","ETF","SGOV","ARCA","40","100.452796","4018.11184","-1.31184","USD","1","ISHARES 0-3 MONTH TREASURY B","4016.8"
"0.12","U9223979","STK","ETF","TLT","NASDAQ","1","90.602122","90.602122","-1.932122","USD","1","ISHARES 20+ YEAR TREASURY BD","88.67"
"1.97","U9223979","STK","ETF","VYM","ARCA","10","129.750035","1297.50035","115.09965","USD","1","VANGUARD HIGH DVD YIELD ETF","1412.6"
"50.32","U9223979","BOND","Govt","T 4 1/2 05/15/27","","10000","100.218","10021.8","112.97","USD","1","T 4 1/2 05/15/27","10134.77"
"49.68","U9223979","BOND","Govt","T 4 12/15/25","","10000","99.8703","9987.03","17.27","USD","1","T 4 12/15/25","10004.3"
